cyclone,fichier
al162024,s1a-iw-owi-cm-20241019t225347-20241019t225459-000003-06E04E_ll_gd_GEO-IRWIN.nc
al052019,s1a-iw-owi-cm-20190906t224121-20190906t224301-000003-0346EC_ll_gd_GEO-IRWIN.nc
al052019,s1b-iw-owi-cm-20190829t102127-20190829t102221-000003-0217F3_ll_gd_GEO-IRWIN.nc
al052019,s1a-iw-owi-cm-20190903t111721-20190903t111901-000003-03451E_ll_gd_GEO-IRWIN.nc
al052019,s1a-iw-owi-cm-20190827t221901-20190827t222016-000003-0341DA_ll_gd_GEO-IRWIN.nc
al052019,s1a-iw-owi-cm-20190830t224548-20190830t224705-000003-03435D_ll_gd_GEO-IRWIN.nc
al052019,s1a-iw-owi-cm-20190902t231101-20190902t231306-000003-0344E3_ll_gd_GEO-IRWIN.nc
al052019,s1a-iw-owi-cm-20190831t105329-20190831t105448-000003-03439C_ll_gd_GEO-IRWIN.nc
al052019,s1b-iw-owi-cm-20190904t110754-20190904t110934-000003-021A9D_ll_gd_GEO-IRWIN.nc
wp102019,s1a-iw-owi-cm-20190809t100111-20190809t100316-000003-033873_ll_gd_GEO-IRWIN.nc
al202023,s1a-iw-owi-cm-20231019t220229-20231019t220344-000003-0620B5_ll_gd_GEO-IRWIN.nc
al202023,s1a-iw-owi-cm-20231022t095844-20231022t095938-000003-0621D7_ll_gd_GEO-IRWIN.nc
al202023,s1a-iw-owi-cm-20231022t222848-20231022t223011-000003-062224_ll_gd_GEO-IRWIN.nc
wp202021,s1b-ew-owi-cm-20210927t090902-20210927t091207-000003-03725C_ll_gd_GEO-IRWIN.nc
wp202019,s1b-iw-owi-cm-20191012t084028-20191012t084212-000003-022BD1_ll_gd_GEO-IRWIN.nc
sh122021,s1b-iw-owi-cm-20210122t025113-20210122t025228-000003-030207_ll_gd_GEO-IRWIN.nc
sh122021,s1a-ew-owi-cm-20210118t144525-20210118t144726-000003-043E8B_ll_gd_GEO-IRWIN.nc
wp302019,s1b-iw-owi-cm-20191224t213011-20191224t213131-000003-024DE7_ll_gd_GEO-IRWIN.nc
sh052024,s1a-ew-owi-cm-20240115t144437-20240115t144641-000003-064CAE_ll_gd_GEO-IRWIN.nc
wp052024,s1a-iw-owi-cm-20240725t100131-20240725t100246-000003-06B064_ll_gd_GEO-IRWIN.nc
al162021,s1b-iw-owi-cm-20210920t095734-20210920t095828-000003-036F42_ll_gd_GEO-IRWIN.nc
sh202019,s1a-iw-owi-cm-20190319t085334-20190319t085428-000003-02F46F_ll_gd_GEO-IRWIN.nc
sh182019,s1a-ew-owi-cm-20190311t024310-20190311t024514-000003-02F003_ll_gd_GEO-IRWIN.nc
al172023,s1a-iw-owi-cm-20231003t100627-20231003t100742-000003-06187A_ll_gd_GEO-IRWIN.nc
al192024,s1a-iw-owi-cm-20241116t235825-20241116t235940-000003-06F093_ll_gd_GEO-IRWIN.nc
wp102020,s1b-ew-owi-cm-20200901t212522-20200901t212726-000003-02C081_ll_gd_GEO-IRWIN.nc
wp072024,rcm1-sc50ma-owi-cm-20240813t080420-20240813t080537-00003-______ll_gd_GEO-IRWIN.nc
wp072024,rcm3-sc50ma-owi-cm-20240812t201344-20240812t201444-00003-______ll_gd_GEO-IRWIN.nc
