annee,bassin,cyclone_numero,date_debut,date_fin,fichier
1997,CP,3,1997-10-05T12:00:00,1997-10-07T18:00:00,TCPRIMED_v01r01-final_CP031997_env_s19971005120000_e19971007180000.nc
1997,CP,4,1997-10-30T12:00:00,1997-11-01T06:00:00,TCPRIMED_v01r01-final_CP041997_env_s19971030120000_e19971101060000.nc
1997,CP,5,1997-11-28T18:00:00,1997-12-22T12:00:00,TCPRIMED_v01r01-final_CP051997_env_s19971128180000_e19971222120000.nc
1997,EP,1,1997-06-01T00:00:00,1997-06-07T00:00:00,TCPRIMED_v01r01-final_EP011997_env_s19970601000000_e19970607000000.nc
1997,EP,2,1997-06-09T18:00:00,1997-06-12T06:00:00,TCPRIMED_v01r01-final_EP021997_env_s19970609180000_e19970612060000.nc
1997,EP,3,1997-06-21T18:00:00,1997-06-24T00:00:00,TCPRIMED_v01r01-final_EP031997_env_s19970621180000_e19970624000000.nc
1997,EP,4,1997-06-25T06:00:00,1997-06-28T00:00:00,TCPRIMED_v01r01-final_EP041997_env_s19970625060000_e19970628000000.nc
1997,EP,5,1997-06-29T12:00:00,1997-07-04T00:00:00,TCPRIMED_v01r01-final_EP051997_env_s19970629120000_e19970704000000.nc
1997,EP,6,1997-07-05T12:00:00,1997-07-12T18:00:00,TCPRIMED_v01r01-final_EP061997_env_s19970705120000_e19970712180000.nc
1997,EP,7,1997-07-12T06:00:00,1997-07-16T18:00:00,TCPRIMED_v01r01-final_EP071997_env_s19970712060000_e19970716180000.nc
1997,EP,8,1997-07-14T12:00:00,1997-07-22T12:00:00,TCPRIMED_v01r01-final_EP081997_env_s19970714120000_e19970722120000.nc
1997,EP,9,1997-07-30T12:00:00,1997-08-24T00:00:00,TCPRIMED_v01r01-final_EP091997_env_s19970730120000_e19970824000000.nc
1997,EP,10,1997-08-10T00:00:00,1997-08-15T00:00:00,TCPRIMED_v01r01-final_EP101997_env_s19970810000000_e19970815000000.nc
1997,EP,11,1997-08-17T00:00:00,1997-08-20T06:00:00,TCPRIMED_v01r01-final_EP111997_env_s19970817000000_e19970820060000.nc
1997,EP,12,1997-08-25T12:00:00,1997-08-30T00:00:00,TCPRIMED_v01r01-final_EP121997_env_s19970825120000_e19970830000000.nc
1997,EP,13,1997-09-03T18:00:00,1997-09-07T00:00:00,TCPRIMED_v01r01-final_EP131997_env_s19970903180000_e19970907000000.nc
1997,EP,14,1997-09-09T12:00:00,1997-09-17T18:00:00,TCPRIMED_v01r01-final_EP141997_env_s19970909120000_e19970917180000.nc
1997,EP,15,1997-09-12T18:00:00,1997-09-16T12:00:00,TCPRIMED_v01r01-final_EP151997_env_s19970912180000_e19970916120000.nc
1997,EP,16,1997-09-16T06:00:00,1997-09-26T06:00:00,TCPRIMED_v01r01-final_EP161997_env_s19970916060000_e19970926060000.nc
1997,EP,17,1997-09-26T12:00:00,1997-10-12T18:00:00,TCPRIMED_v01r01-final_EP171997_env_s19970926120000_e19971012180000.nc
1997,EP,18,1997-10-05T12:00:00,1997-10-10T06:00:00,TCPRIMED_v01r01-final_EP181997_env_s19971005120000_e19971010060000.nc
1997,EP,19,1997-11-07T00:00:00,1997-11-10T18:00:00,TCPRIMED_v01r01-final_EP191997_env_s19971107000000_e19971110180000.nc
1997,IO,1,1997-05-13T00:00:00,1997-05-20T06:00:00,TCPRIMED_v01r01-final_IO011997_env_s19970513000000_e19970520060000.nc
1997,IO,2,1997-09-19T18:00:00,1997-09-27T18:00:00,TCPRIMED_v01r01-final_IO021997_env_s19970919180000_e19970927180000.nc
1997,IO,3,1997-11-04T00:00:00,1997-11-10T06:00:00,TCPRIMED_v01r01-final_IO031997_env_s19971104000000_e19971110060000.nc
1997,IO,4,1997-11-02T12:00:00,1997-11-14T00:00:00,TCPRIMED_v01r01-final_IO041997_env_s19971102120000_e19971114000000.nc
