min_bt,max_bt,mean_bt,std_bt,bt_r0_20,bt_r20_50,bt_r50_70,bt_r70_100,grad_inner,grad_outer,bt_asym_index,vmax,vmean,vmin,Rmax,Rvmax_90,Rvmax_80,shear_mean,shear_deep,shear_shallow,shear_gradient,shear_cos,shear_sin,cps_sym,cps_depth,warm_core_index,wind_env_mag,wind_env_dir_x,wind_env_dir_y,twind_mean,twind_max,vort_mean,vort_max,vort_integral,ratio_eye_wall,ratio_wall_bt
188.24474,294.44995,234.68869,29.351166,199.47678,199.28275,211.26068,217.28293,-0.19403076,11.977936,13.08103,51.620000000000005,24.222285454661808,11.377995380031795,4.121320343559642,5.498818843228941,7.60872045623721,5.561546,7.6885996,3.434492,4.2541075,-0.9456382,-0.28356248,2.0,0.0,0.0,7.1296945,-0.9898257,-0.14228424,-0.2545222,1.7946601,1.7784133e-06,1.2332101e-05,4.0903506e-05,1.0009737,1.4775486
191.58434,287.4067,222.98761,21.297056,207.68457,196.79799,200.51747,208.23721,-10.886581,3.7194824,7.774211,73.47999999999999,28.50839525358888,13.731646608506594,2.0,3.7477335501311413,6.604274966158984,2.8494616,2.5917578,3.1071653,-0.51540756,-0.24650729,-0.15679231,2.0,0.0,0.0,6.5608892,-0.99786496,0.065308705,-0.5300378,2.585165,2.6012623e-07,1.7338201e-05,5.9829035e-06,1.0553186,1.4604149
190.02896,293.09555,234.25865,26.985703,203.11598,202.43,213.00764,222.65706,-0.6859894,10.577652,16.18696,62.120000000000005,30.264270975095396,17.008460949535362,8.48528137423857,6.075698982846727,9.425230552728353,3.494388,5.995883,0.9928932,5.00299,0.21524094,-0.14692718,2.0,0.0,0.0,5.294902,-0.94457126,0.32830593,-0.22461118,3.597866,4.406217e-07,1.1599501e-05,1.0134299e-05,1.0033888,1.447886
188.01823,288.14862,222.59644,19.789553,212.95918,215.95132,224.41583,221.4582,2.9921417,8.464508,12.636276,27.320185662038693,9.155629008267777,1.063722694212422,23.021728866442675,82.0736301974042,82.83954913275474,6.719398,6.903472,6.535324,0.36814785,0.2245163,-0.93133676,2.0,0.0,0.0,7.253778,-0.9949399,-0.10047008,1.0860852,2.5595272,7.432189e-08,1.69719e-05,1.7094035e-06,0.98614436,1.3343221
189.89706,292.97003,234.37247,26.950497,203.29686,201.81,213.35594,222.73524,-1.4868622,11.545944,16.122236,55.7,29.985837270400015,16.869908425526845,3.605551275463989,7.378308520057077,11.678241201489488,3.494388,5.995883,0.9928932,5.00299,0.21524094,-0.14692718,2.0,0.0,0.0,5.294902,-0.94457126,0.32830593,-0.22461118,3.597866,4.406217e-07,1.1599501e-05,1.0134299e-05,1.0073676,1.4517121
185.04335,285.07767,214.02051,19.042074,206.70918,191.05745,198.69263,204.27776,-15.651733,7.6351776,8.044543,76.45,25.261701067386834,8.379999999999999,24.351591323771842,80.54086571446676,76.09243979024248,4.813233,4.213896,5.41257,-1.1986742,0.02693522,0.53302765,2.0,0.0,0.0,4.6568456,0.95078504,-0.30985057,-1.764563,1.243443,-2.176565e-06,2.0512802e-05,-5.0060997e-05,1.0819216,1.4921044
186.2568,294.84528,231.7107,24.900856,197.23987,201.54343,208.3007,220.24077,4.3035583,6.7572784,11.2154255,46.36,22.590046868165725,7.520481642412162,11.0,10.47814931567268,15.764384547456077,4.4742703,5.46369,3.484851,1.9788389,-0.044211954,0.5925178,2.0,0.0,0.0,8.556102,0.14866833,0.98888695,3.3407426,4.619113,-1.2326792e-05,4.2735e-06,-0.00028351622,0.978647,1.4629368
223.2647,292.33853,271.48892,17.41838,245.30908,267.7867,278.41873,273.61414,22.47763,10.632019,6.657852,25.1,11.382217067341486,3.7199999999999998,10.44030650891055,37.94483231163606,25.567306158814418,9.811838,16.376118,3.2475576,13.12856,0.59165573,0.7887367,1.0,1.0,1.0,4.347353,0.99965864,-0.02611468,-6.29766,0.39738902,2.7504357e-05,3.8827802e-05,0.0006326002,0.91606146,1.0916842
221.42572,291.34567,274.38312,18.695341,228.40776,254.85126,277.49084,280.82196,26.443497,22.639587,6.6684303,33.86,13.121226864093073,5.340000000000001,9.055385138137417,8.89102559710278,11.415744805353802,12.074896,19.836323,4.313468,15.522855,0.56288844,0.7906898,0.0,2.0,0.0,9.821475,0.95134586,0.3081247,-3.9437935,1.251989,1.9557236e-05,3.36996e-05,0.0004498164,0.89623946,1.1431988
215.71375,289.56146,259.15353,21.49017,240.13449,238.42271,241.00305,253.58717,-1.7117767,2.5803375,9.979003,38.66,21.615278161713892,7.08,15.297058540778355,16.8080171132025,23.982947654525233,3.7189002,4.5030737,2.9347267,1.568347,0.8862625,-0.112502255,1.0,1.0,1.0,12.7860985,0.50324756,0.86414224,2.1586082,5.093416,3.4092445e-05,4.9694703e-05,0.0007841262,1.0071796,1.2144878
