,sid,name,date,wind_speed (m/s),lon,lat,ir_path
82,sh062024,ANGGREK,2024-01-20 18:00:00,36,92.4,-12.3,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240120180000.nc
83,sh062024,ANGGREK,2024-01-20 21:00:00,36,92.4,-12.2,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240120210000.nc
84,sh062024,ANGGREK,2024-01-21 00:00:00,36,92.4,-12.1,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240121000000.nc
85,sh062024,ANGGREK,2024-01-21 03:00:00,35,92.3,-12.05,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240121030000.nc
86,sh062024,ANGGREK,2024-01-21 06:00:00,33,92.2,-12.0,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240121060000.nc
87,sh062024,ANGGREK,2024-01-21 09:00:00,32,92.1,-12.1,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240121090000.nc
88,sh062024,ANGGREK,2024-01-21 12:00:00,31,92.0,-12.2,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240121120000.nc
89,sh062024,ANGGREK,2024-01-21 15:00:00,28,91.9,-12.25,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240121150000.nc
90,sh062024,ANGGREK,2024-01-21 18:00:00,26,91.8,-12.3,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240121180000.nc
91,sh062024,ANGGREK,2024-01-21 21:00:00,24,91.75,-12.4,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240121210000.nc
